latitude,longitude,elevation,date,month,season,soil_moisture,soil_temperature,soil_ph,bulk_density,sand_percentage,silt_percentage,clay_percentage,nitrogen_content,phosphorus_content,potassium_content,organic_matter,electrical_conductivity,air_temperature,relative_humidity,rainfall,solar_radiation,days_since_fertilization,fertilizer_type,irrigation_frequency,crop_rotation,soil_health_index,crop_yield_potential,fertilizer_n_recommendation,fertilizer_p_recommendation,fertilizer_k_recommendation,irrigation_requirement,soil_degradation_risk,cluster_labels
44.8,-90.2,260.3,2023-08-20,8,Summer,27.3,23.5,5.04,1.4,64.2,28.1,7.7,19.4,7.8,31.1,6.56,0.1,28.1,45.5,51.7,25.6,71,Nitrogen,6,Wheat-Legume,80.2,6.9,180.6,92.2,118.9,34.1,Low,1
25.8,-84.5,108.0,2024-11-23,11,Fall,18.6,20.6,7.0,1.1,23.9,64.5,11.6,57.3,15.2,95.2,4.51,0.4,20.5,59.3,50.7,22.4,333,NPK,1,Corn-Soy,75.2,5.2,142.7,84.8,54.8,31.4,Low,3
42.3,-119.6,274.8,2024-11-21,11,Fall,13.8,17.0,8.56,1.0,29.0,35.3,35.8,31.1,9.6,46.0,5.87,0.8,17.2,72.0,17.0,12.3,83,NPK,2,Corn-Soy,69.2,4.5,168.9,90.4,104.0,36.2,Low,3
36.6,-94.1,768.4,2024-02-11,2,Winter,24.0,7.6,5.21,1.2,69.5,20.8,9.7,12.6,22.7,120.9,1.6,0.6,17.0,58.5,24.5,11.1,236,Nitrogen,1,Monoculture,57.3,3.7,187.4,77.3,29.1,20.8,Medium,0
33.8,-118.1,375.1,2024-07-24,7,Summer,13.3,26.8,9.0,1.6,59.3,34.7,6.0,11.5,15.0,49.3,0.5,0.3,24.3,51.2,62.6,25.7,22,NPK,2,Wheat-Legume,47.7,3.0,188.5,85.0,100.7,55.0,Medium,1
39.5,-91.5,341.0,2024-01-10,1,Winter,15.2,3.5,7.46,1.6,41.5,21.3,37.3,10.9,7.6,81.1,0.5,0.8,8.2,66.7,50.1,10.6,255,,2,Wheat-Legume,45.4,3.1,189.1,92.4,68.9,27.9,Medium,0
34.7,-74.0,83.8,2023-04-03,4,Spring,38.7,23.6,8.7,1.3,73.2,16.5,10.4,24.3,14.7,85.5,3.5,0.3,23.0,59.1,29.7,16.6,228,NPK,2,Diversified,56.5,4.8,175.7,85.3,64.5,11.3,Low,2
42.5,-71.6,125.3,2024-02-09,2,Winter,14.9,1.3,9.0,1.6,54.9,40.5,4.6,44.8,6.1,69.2,3.97,0.5,5.7,95.0,18.6,10.3,278,Nitrogen,1,Corn-Soy,53.6,2.7,155.2,93.9,80.8,28.1,Low,0
43.0,-93.0,59.5,2023-01-15,1,Winter,44.9,11.0,7.93,1.1,24.8,2.7,72.5,26.7,5.4,45.7,1.74,0.2,16.5,65.6,2.4,7.8,321,NPK,0,Monoculture,54.8,2.6,173.3,94.6,104.3,4.1,Medium,0
33.4,-97.1,267.0,2023-09-28,9,Fall,17.8,22.4,5.75,1.2,33.5,56.9,9.5,12.4,10.3,96.1,1.6,0.1,25.0,61.9,30.1,14.5,356,Organic,2,Diversified,56.7,4.5,187.6,89.7,53.9,32.2,Medium,3
30.5,-72.7,258.6,2024-07-03,7,Summer,19.8,33.7,5.99,1.6,61.1,36.1,2.7,30.8,18.2,38.8,2.04,0.1,38.9,30.5,82.2,28.2,204,Organic,2,Monoculture,65.5,5.1,169.2,81.8,111.2,45.3,Medium,1
36.8,-86.3,126.0,2023-05-07,5,Spring,17.9,18.5,9.0,1.7,28.1,18.9,53.0,13.5,18.9,63.3,6.96,0.3,30.5,61.8,30.0,19.1,319,NPK,2,Fallow,67.9,4.1,186.5,81.1,86.7,32.1,Medium,1
43.2,-116.8,460.1,2024-04-10,4,Spring,33.1,14.1,9.0,1.5,21.9,58.3,19.8,70.0,19.3,103.3,4.29,1.1,12.1,75.1,39.9,12.2,175,NPK,3,Monoculture,70.9,4.2,130.0,80.7,46.7,16.9,Low,0
29.2,-96.7,78.2,2024-01-13,1,Winter,27.9,13.0,9.0,1.0,54.0,40.4,5.6,15.2,8.4,77.9,0.52,0.1,18.2,54.6,18.0,14.2,187,Phosphorus,0,Diversified,49.5,2.1,184.8,91.6,72.1,17.7,Medium,0
37.5,-108.0,135.1,2024-11-19,11,Fall,22.5,18.5,8.4,1.6,53.8,42.5,3.7,11.8,8.3,49.1,0.5,0.2,24.0,57.4,48.8,20.8,107,NPK,2,Fallow,51.4,4.0,188.2,91.7,100.9,27.5,Medium,3
37.6,-96.5,273.6,2024-11-19,11,Fall,15.7,19.1,8.01,1.2,77.9,13.0,9.0,23.4,2.2,44.2,1.08,0.2,16.8,65.2,11.3,17.2,236,Nitrogen,3,Monoculture,50.9,2.4,176.6,97.8,105.8,34.3,Medium,2
39.7,-97.2,88.6,2023-09-26,9,Fall,25.8,17.0,8.8,1.4,39.0,53.5,7.5,31.3,4.5,88.3,2.5,0.8,20.1,60.0,5.0,18.5,312,Organic,1,Wheat-Legume,58.5,2.4,168.7,95.5,61.7,24.2,Low,3
27.6,-90.9,197.2,2024-08-21,8,Summer,15.4,32.7,7.87,1.3,46.9,44.7,8.5,24.1,40.7,106.2,2.81,0.4,34.3,45.0,32.9,24.8,1,Organic,4,Diversified,72.0,5.0,175.9,59.3,43.8,51.9,Low,1
39.3,-102.2,143.8,2024-01-26,1,Winter,30.6,16.9,5.52,1.5,59.8,33.6,6.6,23.6,13.0,39.6,0.5,0.3,20.9,45.6,34.1,10.3,291,NPK,0,Diversified,56.9,3.5,176.4,87.0,110.4,15.5,Medium,0
43.2,-111.8,304.2,2024-10-15,10,Fall,25.7,13.0,6.0,1.3,25.6,49.4,25.0,28.2,9.0,63.1,1.25,0.1,15.7,67.1,8.4,14.9,336,Phosphorus,0,Monoculture,58.1,3.2,171.8,91.0,86.9,24.3,Medium,3
28.6,-94.8,71.4,2024-01-16,1,Winter,41.6,12.9,9.0,1.8,53.4,17.6,29.0,21.0,22.4,74.9,2.72,1.8,17.4,77.1,5.3,15.1,303,NPK,1,Corn-Soy,51.9,2.0,179.0,77.6,75.1,6.7,Medium,0
29.8,-78.5,28.2,2023-04-21,4,Spring,36.4,22.2,9.0,1.5,65.1,25.1,9.9,24.6,17.1,55.2,3.02,0.8,21.6,73.1,49.1,20.0,312,NPK,3,Diversified,59.4,4.0,175.4,82.9,94.8,13.6,Low,2
44.4,-86.8,85.1,2024-11-22,11,Fall,22.7,14.2,9.0,1.0,57.2,22.4,20.3,30.0,15.5,58.6,4.16,0.1,22.7,51.2,5.6,17.7,328,NPK,2,Wheat-Legume,67.1,4.0,170.0,84.5,91.4,27.3,Low,3
28.6,-103.1,465.1,2023-08-28,8,Summer,21.9,30.8,9.0,1.0,40.4,15.9,43.8,10.9,9.3,78.8,1.56,0.1,33.5,25.8,41.2,25.7,48,NPK,3,Fallow,48.6,3.3,189.1,90.7,71.2,42.1,Medium,1
42.1,-73.2,441.9,2024-04-27,4,Spring,32.5,20.1,5.16,1.0,58.1,35.6,6.4,17.7,11.6,42.6,0.5,0.1,27.0,67.0,38.1,13.8,105,Organic,3,Corn-Soy,52.5,3.2,182.3,88.4,107.4,17.5,Medium,0
34.8,-74.4,113.0,2023-01-26,1,Winter,36.1,10.7,9.0,1.4,75.6,20.5,3.9,28.8,19.4,65.4,1.06,0.1,14.1,62.2,21.3,13.7,164,Nitrogen,1,Diversified,51.2,2.7,171.2,80.6,84.6,11.1,Medium,0
29.9,-109.5,237.6,2024-09-26,9,Fall,16.0,21.8,8.93,1.5,73.4,21.9,4.8,9.4,25.2,49.5,1.7,0.7,27.8,46.6,21.4,21.7,72,Organic,0,Monoculture,52.4,3.7,190.6,74.8,100.5,34.0,Medium,2
42.4,-118.0,253.6,2024-07-28,7,Summer,29.2,23.5,7.72,0.8,32.1,63.1,4.8,23.9,11.3,57.6,5.71,0.1,25.7,45.8,59.5,22.5,180,Organic,5,Diversified,78.9,6.5,176.1,88.7,92.4,31.2,Low,1
33.9,-82.9,67.5,2023-12-02,12,Winter,22.5,12.1,6.25,1.5,47.9,30.7,21.3,15.8,19.3,97.3,2.25,1.1,17.8,65.1,40.1,11.9,132,Nitrogen,1,Corn-Soy,58.4,3.8,184.2,80.7,52.7,22.0,Low,3
35.3,-78.6,147.0,2024-09-16,9,Fall,25.7,17.7,8.11,1.4,58.9,25.9,15.3,17.7,3.8,86.2,0.6,0.5,16.8,61.4,4.6,16.4,19,,4,Wheat-Legume,48.6,2.0,182.3,96.2,63.8,24.3,Medium,3
32.2,-71.6,213.2,2023-08-15,8,Summer,26.3,26.0,9.0,1.6,28.5,70.6,0.9,20.4,7.1,45.5,2.66,0.3,31.1,54.2,17.1,23.4,35,Nitrogen,2,Fallow,64.7,3.6,179.6,92.9,104.5,35.5,Medium,1
36.9,-75.5,21.6,2024-10-25,10,Fall,16.6,16.8,7.18,1.1,15.8,81.8,2.5,9.1,9.7,58.5,4.22,0.1,16.6,74.6,12.7,18.0,214,Nitrogen,1,Diversified,67.9,3.6,190.9,90.3,91.5,33.4,Low,3
28.3,-90.0,272.7,2023-03-06,3,Spring,17.7,26.5,5.93,1.4,51.2,23.0,25.7,15.1,5.8,96.2,2.27,0.1,28.0,37.4,64.3,16.3,136,,1,Diversified,54.0,3.9,184.9,94.2,53.8,32.3,Low,1
32.8,-93.5,354.7,2024-10-12,10,Fall,19.9,17.1,9.0,1.4,35.7,38.0,26.3,38.7,8.8,41.7,4.93,0.1,15.9,53.4,17.2,18.1,198,,2,Corn-Soy,59.3,2.7,161.3,91.2,108.3,30.1,Low,3
44.4,-118.6,294.7,2024-04-20,4,Spring,9.0,21.1,6.59,1.1,42.4,15.1,42.4,7.5,77.7,46.9,0.73,0.1,21.2,49.3,45.6,13.1,74,NPK,5,Fallow,54.2,3.9,192.5,22.3,103.1,41.0,Medium,1
30.2,-107.7,414.0,2024-12-18,12,Winter,28.6,14.4,7.8,1.0,76.6,5.6,17.8,45.0,44.9,93.2,2.53,0.1,15.6,62.6,3.4,12.8,332,NPK,2,Fallow,62.1,3.1,155.0,55.1,56.8,17.1,Low,3
38.1,-97.0,342.1,2023-11-06,11,Fall,12.0,15.2,4.85,1.5,52.5,33.1,14.5,15.1,5.1,54.6,0.5,0.2,19.0,69.8,9.8,22.7,112,NPK,1,Diversified,37.9,2.8,184.9,94.9,95.4,38.0,High,3
31.5,-88.6,457.9,2024-10-26,10,Fall,46.9,18.4,5.82,1.3,32.4,64.0,3.6,15.0,10.3,33.1,5.63,0.8,21.5,63.4,44.7,13.6,89,NPK,4,Corn-Soy,69.2,4.7,185.0,89.7,116.9,3.1,Low,3
40.5,-92.1,31.7,2024-02-23,2,Winter,38.5,13.4,9.0,1.4,56.6,34.8,8.6,21.1,9.6,70.4,0.93,0.1,14.3,86.9,36.3,14.7,329,Nitrogen,0,Wheat-Legume,50.9,2.8,178.9,90.4,79.6,9.2,Medium,0
27.6,-82.9,182.3,2023-04-30,4,Spring,30.6,24.0,9.0,1.6,66.4,17.1,16.6,41.3,7.8,59.8,3.07,0.2,27.8,44.1,8.6,20.1,212,,2,Fallow,55.7,2.1,158.7,92.2,90.2,19.4,Low,2
44.4,-106.0,102.4,2023-05-24,5,Spring,40.7,17.9,8.09,1.3,36.4,35.4,28.2,10.3,4.8,80.0,2.64,0.3,21.4,49.6,70.0,17.1,208,NPK,2,Corn-Soy,57.5,5.2,189.7,95.2,70.0,9.3,Low,0
34.1,-91.8,32.9,2023-02-16,2,Winter,35.6,15.1,4.92,1.4,73.3,12.4,14.3,15.4,11.2,67.7,1.26,0.5,16.1,68.0,33.4,9.3,316,NPK,0,Fallow,50.9,2.2,184.6,88.8,82.3,11.5,Medium,0
29.7,-115.6,223.4,2023-02-08,2,Winter,20.7,16.3,5.99,1.4,51.6,32.6,15.7,29.0,6.9,73.3,5.71,0.1,17.1,49.3,14.5,15.9,316,Organic,1,Corn-Soy,79.3,3.7,171.0,93.1,76.7,23.4,Low,0
26.5,-99.3,474.9,2023-11-08,11,Fall,17.0,21.1,9.0,1.4,55.3,36.0,8.7,29.6,4.9,44.3,2.86,0.5,22.1,60.2,1.4,20.4,197,NPK,5,Fallow,52.1,3.2,170.4,95.1,105.7,33.0,Low,2
28.4,-82.5,152.3,2024-05-19,5,Spring,38.2,27.0,7.23,1.0,40.1,47.1,12.9,49.6,7.6,79.9,3.45,0.1,35.1,34.0,98.0,18.4,17,NPK,4,Wheat-Legume,71.2,5.8,150.4,92.4,70.1,11.8,Low,1
35.4,-85.3,318.6,2023-04-29,4,Spring,22.3,22.1,9.0,1.3,44.2,36.4,19.4,11.7,27.5,130.3,3.62,0.5,22.2,78.7,50.9,16.0,327,Organic,4,Monoculture,63.9,4.7,188.3,72.5,19.7,27.7,Low,0
31.7,-70.5,576.0,2023-04-10,4,Spring,33.2,20.2,5.94,1.5,42.8,20.5,36.7,11.1,8.5,39.1,6.57,0.8,25.5,52.1,110.7,12.9,218,Nitrogen,0,Corn-Soy,68.2,6.4,188.9,91.5,110.9,16.8,Low,0
41.6,-106.1,203.5,2023-08-29,8,Summer,27.4,27.2,7.14,1.3,18.1,37.1,44.8,30.4,8.4,42.0,2.77,0.1,26.9,72.3,11.9,22.0,291,NPK,3,Monoculture,63.1,2.9,169.6,91.6,108.0,33.9,Low,1
33.6,-95.1,515.0,2024-07-04,7,Summer,19.9,27.5,5.96,1.2,50.4,38.3,11.3,14.4,12.4,80.5,1.76,1.4,28.2,54.5,3.9,24.5,32,NPK,4,Diversified,61.6,3.6,185.6,87.6,69.5,45.1,Medium,1
30.0,-103.5,481.0,2023-05-19,5,Spring,31.2,24.2,6.44,1.5,37.4,35.7,26.9,25.1,25.9,57.0,4.84,0.6,27.6,58.5,98.6,16.5,237,NPK,0,Wheat-Legume,78.4,7.4,174.9,74.1,93.0,18.8,Low,1
37.3,-98.0,311.6,2024-02-02,2,Winter,36.7,11.8,5.75,1.3,49.0,28.8,22.2,28.7,4.5,39.9,5.34,1.5,15.8,73.0,86.7,13.2,48,NPK,0,Diversified,71.5,5.0,171.3,95.5,110.1,10.7,Low,0
39.1,-77.2,81.6,2024-04-09,4,Spring,36.3,18.9,6.73,1.2,57.3,30.0,12.7,8.9,18.6,37.6,0.5,0.2,21.9,44.2,58.1,17.8,364,NPK,2,Wheat-Legume,54.3,4.2,191.1,81.4,112.4,13.7,Medium,2
28.3,-85.8,30.9,2024-01-15,1,Winter,33.6,17.6,6.82,1.1,51.0,40.9,8.0,50.3,13.9,177.8,3.47,1.4,21.7,73.6,15.3,16.7,240,Organic,1,Monoculture,69.8,4.7,149.7,86.1,0.0,13.1,Low,0
28.4,-75.9,136.7,2024-11-17,11,Fall,21.9,19.1,8.87,1.3,36.8,13.0,50.2,24.0,22.6,30.0,1.65,0.3,23.1,65.8,37.2,15.1,45,NPK,4,Diversified,57.0,3.0,176.0,77.4,120.0,28.1,Medium,3
25.7,-109.8,173.3,2024-12-14,12,Winter,34.7,14.9,5.02,1.2,71.9,1.2,26.9,15.0,18.7,36.3,0.53,0.1,18.8,65.1,57.7,13.0,114,Organic,2,Diversified,49.5,3.4,185.0,81.3,113.7,12.2,Medium,2
39.7,-76.3,203.4,2024-07-07,7,Summer,5.8,28.1,5.35,1.5,24.8,43.1,32.0,21.2,46.0,69.1,0.5,0.7,28.5,35.8,72.5,25.2,122,Organic,1,Monoculture,42.0,2.9,178.8,54.0,80.9,66.3,Medium,1
38.3,-117.0,381.9,2024-03-05,3,Spring,41.8,20.4,7.17,1.1,77.5,7.7,14.9,22.2,8.1,37.4,2.7,0.6,21.5,43.4,3.6,15.0,350,Organic,3,Corn-Soy,65.3,3.1,177.8,91.9,112.6,8.2,Low,2
34.5,-75.6,131.5,2024-08-24,8,Summer,20.9,26.1,5.45,1.4,30.8,62.1,7.1,22.8,6.6,58.5,0.95,1.3,28.2,47.6,15.9,24.9,118,Nitrogen,7,Diversified,53.4,3.2,177.2,93.4,91.5,43.6,Medium,1
41.9,-103.5,389.0,2023-06-08,6,Summer,16.1,24.7,5.56,1.4,83.8,11.0,5.2,31.1,7.7,32.7,6.22,0.2,30.1,56.2,52.7,24.6,101,,2,Fallow,66.7,4.8,168.9,92.3,117.3,50.8,Low,2
41.1,-104.3,722.3,2024-02-29,2,Winter,34.8,10.1,9.0,1.4,30.4,62.6,7.0,15.1,14.8,50.7,7.36,0.5,14.2,72.0,25.8,8.6,329,NPK,2,Wheat-Legume,68.8,4.0,184.9,85.2,99.3,12.2,Low,0
36.7,-94.4,217.2,2024-11-01,11,Fall,26.6,14.0,8.67,1.6,14.0,80.2,5.8,21.8,27.3,48.9,3.83,1.6,16.3,71.3,94.4,10.9,74,NPK,3,Diversified,68.9,5.9,178.2,72.7,101.1,23.4,Medium,3
42.4,-73.0,289.4,2023-04-12,4,Spring,22.2,21.6,6.74,1.0,60.9,28.7,10.5,17.2,33.1,41.1,3.71,1.0,24.2,71.3,13.4,13.8,80,Nitrogen,1,Monoculture,69.7,4.3,182.8,66.9,108.9,27.8,Low,0
29.1,-117.6,693.0,2024-05-16,5,Spring,30.5,28.5,5.89,1.4,54.7,16.4,29.0,23.9,8.0,59.9,3.41,0.9,27.3,60.1,90.8,23.4,331,NPK,2,Diversified,70.5,6.6,176.1,92.0,90.1,19.5,Low,2
27.2,-102.4,424.8,2024-09-22,9,Fall,22.3,22.1,9.0,1.4,39.8,59.8,0.4,21.8,42.1,43.1,1.2,1.1,23.4,64.3,6.5,20.2,257,Nitrogen,1,Diversified,49.1,2.6,178.2,57.9,106.9,27.7,Medium,3
30.4,-77.2,135.3,2024-02-22,2,Winter,29.8,13.7,5.2,1.1,71.3,8.5,20.2,7.3,14.5,70.6,2.21,0.9,14.2,78.1,27.8,12.9,138,NPK,1,Diversified,55.0,3.7,192.7,85.5,79.4,16.2,Low,0
26.1,-100.2,760.6,2023-10-14,10,Fall,35.0,22.5,9.0,1.4,27.6,68.5,3.8,14.4,11.7,37.9,0.5,0.2,27.1,56.1,9.6,22.3,33,NPK,2,Corn-Soy,40.3,2.0,185.6,88.3,112.1,15.0,Medium,1
35.6,-110.0,284.5,2023-02-03,2,Winter,29.8,14.4,9.0,1.2,43.6,38.6,17.8,8.2,11.7,66.5,5.03,0.1,17.0,73.0,15.5,10.9,90,,0,Fallow,62.9,2.7,191.8,88.3,83.5,16.1,Low,0
43.7,-98.8,149.1,2024-12-07,12,Winter,29.0,9.0,7.18,1.6,50.2,41.7,8.2,48.9,31.3,72.1,4.41,2.2,14.7,75.5,22.3,5.0,325,Organic,3,Wheat-Legume,71.0,4.3,151.1,68.7,77.9,16.8,Medium,3
25.8,-100.7,50.2,2024-01-15,1,Winter,24.6,17.3,7.95,1.2,63.0,35.5,1.6,31.9,6.5,71.9,4.19,0.7,26.3,58.7,17.2,11.7,22,Nitrogen,3,Fallow,75.0,4.7,168.1,93.5,78.1,20.4,Low,2
27.4,-74.2,132.9,2023-08-11,8,Summer,15.4,34.5,8.1,1.3,63.5,15.7,20.8,10.7,15.8,90.2,5.84,0.1,39.0,69.5,95.7,26.8,206,NPK,4,Fallow,66.5,4.3,189.3,84.2,59.8,51.9,Low,1
34.0,-81.9,275.4,2024-03-30,3,Spring,33.1,24.7,8.82,1.2,46.7,51.8,1.6,30.6,13.7,30.0,3.79,0.7,23.9,55.5,25.7,18.4,60,,2,Wheat-Legume,57.2,4.6,169.4,86.3,120.0,16.9,Low,2
43.7,-94.7,102.6,2024-03-31,3,Spring,26.2,15.7,7.64,1.1,55.4,41.8,2.8,16.0,4.8,33.4,4.58,0.2,17.2,44.3,119.6,18.9,346,Phosphorus,1,Fallow,66.5,5.2,184.0,95.2,116.6,23.8,Low,0
31.3,-70.6,117.7,2023-08-30,8,Summer,20.5,31.6,7.9,1.0,47.2,45.1,7.7,21.9,2.0,29.3,5.69,0.1,28.7,38.6,53.3,25.9,218,Phosphorus,2,Monoculture,70.1,5.6,178.1,98.0,120.7,44.3,Low,1
35.1,-96.7,595.6,2024-01-07,1,Winter,31.6,15.4,5.85,1.1,76.2,11.1,12.8,7.3,13.1,64.7,2.74,0.4,22.7,69.6,2.4,14.2,16,Phosphorus,3,Corn-Soy,68.3,4.7,192.7,86.9,85.3,14.7,Low,0
25.8,-117.1,288.0,2023-04-12,4,Spring,30.5,27.1,4.9,1.3,47.4,19.2,33.4,24.7,5.1,37.1,2.52,0.1,36.0,42.4,34.5,23.6,326,Organic,1,Fallow,58.1,4.7,175.3,94.9,112.9,19.5,Low,1
28.0,-106.9,59.7,2024-12-03,12,Winter,31.1,17.3,9.0,1.4,26.6,55.3,18.0,24.7,10.1,45.9,2.29,1.9,16.5,64.9,6.6,12.9,325,Organic,1,Wheat-Legume,54.2,3.3,175.3,89.9,104.1,15.1,Low,3
44.7,-98.2,401.3,2024-01-12,1,Winter,31.1,6.2,5.38,1.5,44.8,50.0,5.2,8.2,11.8,72.8,2.35,1.4,7.0,86.3,46.6,9.6,98,Nitrogen,2,Wheat-Legume,57.6,3.7,191.8,88.2,77.2,15.2,Low,0
44.3,-112.2,31.2,2024-07-11,7,Summer,27.0,20.9,9.0,1.5,36.8,37.9,25.3,38.2,3.7,76.9,5.41,0.8,21.2,70.0,5.0,24.1,35,NPK,6,Fallow,69.1,4.5,161.8,96.3,73.1,34.5,Low,3
25.1,-72.6,275.4,2024-10-22,10,Fall,43.1,26.7,6.85,1.4,46.5,42.3,11.3,35.8,10.7,21.6,8.0,0.1,26.2,58.7,16.5,22.4,37,Organic,3,Wheat-Legume,79.8,4.7,164.2,89.3,128.4,6.9,Low,2
44.0,-81.7,250.3,2024-01-03,1,Winter,39.8,3.5,9.0,1.5,22.2,76.9,0.9,22.1,8.3,55.9,0.5,0.1,1.1,95.0,31.7,8.9,336,Nitrogen,0,Monoculture,50.4,1.8,177.9,91.7,94.1,8.1,Medium,0
37.8,-106.6,1002.4,2023-03-04,3,Spring,27.1,24.0,7.87,1.4,33.9,55.1,10.9,16.5,8.3,44.3,1.48,0.5,28.5,68.6,23.8,19.1,126,NPK,6,Corn-Soy,58.2,4.5,183.5,91.7,105.7,22.9,Medium,1
42.4,-90.5,499.5,2024-02-12,2,Winter,39.7,8.1,6.34,1.1,36.4,50.1,13.4,17.3,8.6,60.3,2.5,0.8,6.9,91.4,13.7,12.6,320,Phosphorus,2,Monoculture,66.6,2.7,182.7,91.4,89.7,8.2,Low,0
34.1,-83.9,239.9,2023-10-10,10,Fall,13.6,20.9,8.61,1.4,76.6,8.4,15.0,45.8,9.2,56.5,3.78,0.1,22.9,57.5,19.4,25.1,212,Organic,1,Wheat-Legume,55.3,4.0,154.2,90.8,93.5,36.4,Low,2
35.3,-72.9,447.2,2023-07-14,7,Summer,17.5,27.9,9.0,1.3,62.5,17.9,19.6,50.0,5.8,50.5,8.0,0.4,27.5,64.7,29.1,26.6,30,,7,Wheat-Legume,60.0,4.4,150.0,94.2,99.5,48.8,Low,1
34.8,-75.9,34.7,2023-05-06,5,Spring,35.7,24.0,7.32,1.2,47.6,49.0,3.3,15.2,188.9,107.0,1.76,0.6,20.9,53.9,22.0,18.4,277,,1,Diversified,50.4,2.3,184.8,0.0,43.0,14.3,Medium,0
38.3,-94.2,248.1,2024-04-10,4,Spring,35.4,21.2,7.21,1.3,49.7,10.0,40.3,8.4,3.7,63.1,1.02,0.1,21.4,48.8,62.1,15.9,39,Phosphorus,4,Monoculture,54.4,4.9,191.6,96.3,86.9,14.6,Medium,2
27.8,-81.3,143.7,2023-04-04,4,Spring,34.8,24.3,7.04,1.4,67.7,8.2,24.1,18.7,16.2,43.5,2.71,0.1,22.0,47.8,76.8,18.0,40,Organic,1,Fallow,64.7,4.9,181.3,83.8,106.5,15.2,Low,2
25.6,-91.9,270.5,2024-11-09,11,Fall,17.3,23.0,6.31,1.3,52.2,39.8,8.0,38.1,9.7,48.0,2.01,1.3,25.0,52.5,19.4,16.0,126,Nitrogen,2,Fallow,52.5,3.1,161.9,90.3,102.0,32.7,Low,2
31.2,-92.4,29.7,2023-08-06,8,Summer,17.3,29.6,7.66,1.5,49.2,48.4,2.4,14.5,7.0,26.3,1.0,0.3,33.4,31.6,15.4,23.7,329,NPK,4,Monoculture,52.2,2.2,185.5,93.0,123.7,49.0,Medium,1
39.1,-114.3,393.4,2024-10-19,10,Fall,23.0,17.2,8.01,1.4,35.9,44.7,19.3,12.0,18.3,27.2,0.75,0.2,21.0,64.4,61.5,18.8,347,NPK,4,Wheat-Legume,52.5,3.3,188.0,81.7,122.8,27.0,Medium,3
29.0,-113.7,343.4,2024-10-16,10,Fall,20.0,21.3,9.0,1.5,84.8,9.5,5.8,51.8,25.6,44.9,3.45,0.1,24.0,62.9,8.6,18.0,251,Organic,2,Monoculture,65.1,3.2,148.2,74.4,105.1,30.0,Low,2
38.5,-93.5,510.9,2024-09-03,9,Fall,29.1,16.8,6.34,1.6,76.8,17.2,6.0,9.7,13.6,62.4,2.76,0.1,20.8,79.7,23.6,15.1,76,Nitrogen,5,Fallow,70.9,4.8,190.3,86.4,87.6,20.9,Low,2
44.4,-106.6,172.7,2023-01-22,1,Winter,27.8,4.2,9.0,1.2,53.7,37.7,8.6,40.6,13.5,85.9,5.17,0.1,3.4,83.9,1.3,9.4,320,Organic,2,Corn-Soy,73.9,3.8,159.4,86.5,64.1,17.8,Low,0
26.9,-118.9,404.1,2023-02-21,2,Winter,27.5,12.2,8.17,1.2,12.6,53.7,33.7,20.5,14.2,36.0,2.25,0.5,13.3,84.0,15.3,16.4,179,Phosphorus,0,Wheat-Legume,61.4,2.2,179.5,85.8,114.0,18.0,Low,0
38.5,-83.9,803.8,2023-12-08,12,Winter,17.0,10.5,8.63,1.5,57.9,6.7,35.5,19.4,10.4,67.3,6.7,0.5,11.5,77.8,29.0,10.1,213,Nitrogen,0,Wheat-Legume,62.6,3.5,180.6,89.6,82.7,26.4,Low,3
33.9,-118.4,194.9,2023-09-07,9,Fall,29.0,18.9,6.13,1.1,15.4,25.8,58.8,25.0,20.0,107.6,3.38,0.1,16.6,74.7,14.0,11.5,308,NPK,7,Monoculture,73.0,4.0,175.0,80.0,42.4,21.0,Low,3
42.4,-90.2,69.4,2023-05-09,5,Spring,32.6,16.2,6.88,1.3,48.8,51.1,0.1,19.2,5.3,91.9,0.92,0.7,15.8,87.5,85.7,11.9,114,NPK,0,Corn-Soy,56.8,3.9,180.8,94.7,58.1,17.4,Medium,0
28.5,-93.0,386.7,2024-08-01,8,Summer,5.0,32.4,6.54,1.2,38.4,53.5,8.1,19.4,5.0,71.6,3.96,0.3,31.1,54.2,60.4,31.8,161,Phosphorus,3,Wheat-Legume,65.6,5.0,180.6,95.0,78.4,67.5,Low,1
38.9,-71.6,181.2,2023-07-30,7,Summer,25.6,27.3,8.92,1.1,62.1,37.0,0.9,13.0,26.4,31.3,1.7,0.8,28.9,41.7,28.6,27.8,74,NPK,0,Monoculture,57.8,4.5,187.0,73.6,118.7,36.7,Medium,2
41.8,-95.8,97.9,2023-03-12,3,Spring,26.8,18.9,5.66,1.4,48.6,49.8,1.6,16.8,3.5,42.7,4.74,1.3,22.6,47.4,60.5,22.1,277,NPK,1,Monoculture,71.5,5.5,183.2,96.5,107.3,23.2,Low,2
43.9,-116.8,116.7,2024-07-21,7,Summer,28.2,23.6,5.6,1.2,63.8,23.8,12.4,28.3,10.1,76.4,3.61,0.1,24.3,41.5,90.0,23.2,176,Nitrogen,4,Diversified,64.3,6.0,171.7,89.9,73.6,32.7,Low,2
38.7,-92.4,59.4,2023-08-01,8,Summer,21.2,23.6,4.8,1.1,57.7,30.3,12.0,11.0,5.0,69.0,1.84,0.3,22.8,40.8,83.4,22.9,132,NPK,5,Wheat-Legume,46.2,4.2,189.0,95.0,81.0,43.3,Medium,1
